provider,season,week,games_expected,games_expected_source,games_present,games_parsed,games_quarantined,player_game_rows,join_success_by_canonical_player_id,target_coverage,reception_coverage,receiving_yard_coverage,rush_attempt_coverage,rushing_yard_coverage,play_by_play_coverage,dropback_field_coverage,residual_category_coverage,timestamp_safety,unresolved_mappings,duplicate_plays,null_rate_targets,null_rate_receptions,null_rate_receiving_yards,null_rate_rush_attempts,null_rate_rushing_yards,reconciliation_failure_count
espn,2025,6,15,stored_schedule_snapshot,15,15,0,280,1.0,0.8142857142857143,0.8142857142857143,0.8142857142857143,0.43214285714285716,0.43214285714285716,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.5678571428571428,0.5678571428571428,0
espn,2025,7,15,stored_schedule_snapshot,15,15,0,298,1.0,0.8120805369127517,0.8120805369127517,0.8120805369127517,0.3959731543624161,0.3959731543624161,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18791946308724827,0.18791946308724827,0.18791946308724827,0.6040268456375839,0.6040268456375839,0
espn,2025,8,13,stored_schedule_snapshot,13,13,0,266,1.0,0.7706766917293233,0.7706766917293233,0.7706766917293233,0.41729323308270677,0.41729323308270677,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.2293233082706767,0.2293233082706767,0.2293233082706767,0.5827067669172932,0.5827067669172932,0
espn,2025,9,14,stored_schedule_snapshot,14,14,0,271,1.0,0.8154981549815498,0.8154981549815498,0.8154981549815498,0.42435424354243545,0.42435424354243545,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18450184501845024,0.18450184501845024,0.18450184501845024,0.5756457564575646,0.5756457564575646,0
espn,2025,10,14,stored_schedule_snapshot,14,14,0,275,1.0,0.7927272727272727,0.7927272727272727,0.7927272727272727,0.41818181818181815,0.41818181818181815,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.20727272727272728,0.20727272727272728,0.20727272727272728,0.5818181818181818,0.5818181818181818,0
espn,2025,11,15,stored_schedule_snapshot,15,15,0,294,1.0,0.8129251700680272,0.8129251700680272,0.8129251700680272,0.4217687074829932,0.4217687074829932,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18707482993197277,0.18707482993197277,0.18707482993197277,0.5782312925170068,0.5782312925170068,0
espn,2025,12,14,stored_schedule_snapshot,14,14,0,273,1.0,0.8058608058608059,0.8058608058608059,0.8058608058608059,0.4249084249084249,0.4249084249084249,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19413919413919412,0.19413919413919412,0.19413919413919412,0.575091575091575,0.575091575091575,0
espn,2025,13,16,stored_schedule_snapshot,16,16,0,307,1.0,0.8143322475570033,0.8143322475570033,0.8143322475570033,0.42671009771986973,0.42671009771986973,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18566775244299671,0.18566775244299671,0.18566775244299671,0.5732899022801303,0.5732899022801303,0
espn,2025,14,14,stored_schedule_snapshot,14,14,0,291,1.0,0.8006872852233677,0.8006872852233677,0.8006872852233677,0.4020618556701031,0.4020618556701031,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19931271477663226,0.19931271477663226,0.19931271477663226,0.5979381443298969,0.5979381443298969,0
espn,2025,15,16,stored_schedule_snapshot,16,16,0,309,1.0,0.7928802588996764,0.7928802588996764,0.7928802588996764,0.42718446601941745,0.42718446601941745,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.2071197411003236,0.2071197411003236,0.2071197411003236,0.5728155339805825,0.5728155339805825,0
espn,2025,16,16,stored_schedule_snapshot,16,16,0,329,1.0,0.7781155015197568,0.7781155015197568,0.7781155015197568,0.4316109422492401,0.4316109422492401,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.22188449848024316,0.22188449848024316,0.22188449848024316,0.5683890577507599,0.5683890577507599,0
espn,2025,17,16,stored_schedule_snapshot,16,16,0,324,1.0,0.7962962962962963,0.7962962962962963,0.7962962962962963,0.39814814814814814,0.39814814814814814,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.20370370370370372,0.20370370370370372,0.20370370370370372,0.6018518518518519,0.6018518518518519,0
espn,2025,18,16,stored_schedule_snapshot,16,16,0,323,1.0,0.7925696594427245,0.7925696594427245,0.7925696594427245,0.43343653250773995,0.43343653250773995,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.2074303405572755,0.2074303405572755,0.2074303405572755,0.56656346749226,0.56656346749226,0
