american_odds,baseline_probability,bookmaker,calibrated_probability_before_pair_normalization,calibration_method,calibration_training_rows,canonical_player_id,decimal_odds,game_id,grade,line,market,model_probability,nested_configuration,nested_threshold,no_vig_market_probability,opponent,outcome,player_name,policy_expected_value,policy_probability,profit_units,push_probability,quote_timestamp,raw_distribution_probability,research_only,residual_adjustment,residual_model_status,residual_probability,season,side,team,v3_probability,week
110.0,0.7514,bovada,0.5147734734077479,isotonic,10218,4426385,2.1,espn-401772884,LOSS,32.5,rushing_yards,0.5147734734077479,residual_half_life_9,0.01,0.4458598726114649,LAR,37.0,Zach Charbonnet,0.027538644016421254,0.4893041161982958,-1.0,0.0,2025-11-16T21:00:38Z,0.5943076312600574,True,0.043444243586830855,READY_WALK_FORWARD,0.4893041161982958,2025,UNDER,SEA,0.7514,11
-117.0,0.7976,draftkings,0.5829596412556055,isotonic,10218,4426385,1.8547008547008548,espn-401772884,LOSS,34.5,rushing_yards,0.5829596412556055,residual_half_life_9,0.01,0.5094197437829691,LAR,37.0,Zach Charbonnet,0.010745632696909313,0.5449642351407299,-1.0,0.0,2025-11-16T21:00:38Z,0.7433741776769881,True,0.03554449135776083,READY_WALK_FORWARD,0.5449642351407299,2025,UNDER,SEA,0.7976,11
106.0,0.952,draftkings,0.6358691222617986,shrink_50,7676,4426515,2.06,espn-401772884,WIN,7.5,receptions,0.6358691222617986,residual_half_life_9,0.01,0.45800038978756574,SEA,7.0,Puka Nacua,0.05804904565665614,0.513616041580901,1.06,0.0,2025-11-16T21:00:38Z,0.7717382445235972,True,0.055615651793335275,READY_WALK_FORWARD,0.513616041580901,2025,UNDER,LAR,0.952,11
-120.0,0.938,betonlineag,0.590539826775689,shrink_50,7676,4037235,1.8333333333333335,espn-401772885,LOSS,3.5,receptions,0.590539826775689,residual_half_life_9,0.01,0.5123152709359606,SF,6.0,Greg Dortch,0.015087048282882431,0.5536838445179358,-1.0,0.0,2025-11-16T21:00:38Z,0.681079653551378,True,0.04136857358197521,READY_WALK_FORWARD,0.5536838445179358,2025,UNDER,ARI,0.938,11
121.0,0.8094,betonlineag,0.6044474064847045,shrink_50,7676,4360761,2.21,espn-401772885,LOSS,3.5,receptions,0.6044474064847045,residual_half_life_9,0.01,0.4261269059191691,SF,15.0,Michael Wilson,0.015400513743793698,0.4594572460379157,-1.0,0.0,2025-11-16T21:00:38Z,0.7088948129694089,True,0.03333034011874664,READY_WALK_FORWARD,0.4594572460379157,2025,UNDER,ARI,0.8094,11
-160.0,0.9259,draftkings,0.66781975207224,shrink_50,7676,4360761,1.625,espn-401772885,LOSS,4.5,receptions,0.66781975207224,residual_half_life_9,0.01,0.5806451612903226,SF,15.0,Michael Wilson,0.012971598759425218,0.6233671376981078,-1.0,0.0,2025-11-16T21:00:38Z,0.83563950414448,True,0.04272197640778519,READY_WALK_FORWARD,0.6233671376981078,2025,UNDER,ARI,0.9259,11
-114.0,0.7676,betonlineag,0.5864800380546416,shrink_50,7676,4361307,1.8771929824561404,espn-401772885,LOSS,7.5,receptions,0.5864800380546416,residual_half_life_9,0.01,0.5,SF,10.0,Trey McBride,0.027662446419451314,0.5474463499617638,-1.0,0.0,2025-11-16T21:00:38Z,0.6729600761092832,True,0.04744634996176378,READY_WALK_FORWARD,0.5474463499617638,2025,UNDER,ARI,0.7676,11
-112.0,0.0023,fanduel,0.5615212527964204,isotonic,10218,4361741,1.8928571428571428,espn-401772885,LOSS,8.5,rushing_yards,0.5615212527964205,residual_half_life_9,0.01,0.5,ARI,-7.0,Brock Purdy,0.02282169159079811,0.540358629519667,-1.0,0.0,2025-11-16T21:00:38Z,0.6702982009723214,True,0.040358629519666955,READY_WALK_FORWARD,0.540358629519667,2025,OVER,SF,0.0023,11
122.0,0.6092,draftkings,0.5630865484880083,isotonic,10218,3046779,2.2199999999999998,espn-401772928,LOSS,0.5,rushing_yards,0.5630865484880083,residual_half_life_9,0.01,0.4262603208699738,PHI,-1.0,Jared Goff,0.07980863194887888,0.4864002846616572,-1.0,0.0,2025-11-17T01:15:37Z,0.7404248933487894,True,0.060139963791683404,READY_WALK_FORWARD,0.4864002846616572,2025,OVER,DET,0.6092,11
119.0,0.2,draftkings,0.49934335148028713,shrink_50,7676,4427366,2.19,espn-401772945,LOSS,2.5,receptions,0.49934335148028713,residual_half_life_9,0.01,0.43150131513349027,NE,2.0,Breece Hall,0.01849994222122231,0.46506846676768143,-1.0,0.0,2025-11-14T01:10:37Z,0.49868670296057427,True,0.03356715163419116,READY_WALK_FORWARD,0.46506846676768143,2025,OVER,NYJ,0.2,11
