count,extreme_mean,extreme_minus_non_extreme,feature,feature_class,non_extreme_mean,pearson,rank,scope,spearman,target
115,0.13078432786786207,0.002424642847994374,relative_dispersion,distribution_geometry,0.1283596850198677,0.33802863357573215,6,passing_yards,0.38449363582582075,probability_extremeness
115,224.8421052631579,-7.112440191387577,line,distribution_geometry,231.95454545454547,-0.39380717720891434,7,passing_yards,-0.26592077488681276,probability_extremeness
115,-75.279322305098,-96.73973905376842,mean_minus_line,distribution_geometry,21.460416748670408,-0.3954307570548397,8,passing_yards,-0.25846322520100545,probability_extremeness
115,-6.913384947372612,-7.528703270614434,standardized_mean_line_gap,distribution_geometry,0.6153183232418216,-0.404035893687423,9,passing_yards,-0.256308308659359,probability_extremeness
115,547.3684210526316,-3.566643882433368,league_team_history_rows,history_depth,550.9350649350649,0.16818382047601557,10,passing_yards,0.10262849364297225,probability_extremeness
115,34.0,0.0,team_history_rows,history_depth,34.0,,11,passing_yards,,probability_extremeness
115,10000.0,0.0,unique_values,distribution_geometry,10000.0,,12,passing_yards,,probability_extremeness
115,0.0,0.0,zero_mass,distribution_geometry,0.0,,13,passing_yards,,probability_extremeness
469,-8.059473347395992,-7.323449842690981,standardized_mean_line_gap,distribution_geometry,-0.7360235047050109,-0.30586288610971224,1,receiving_yards,-0.9712501268922747,probability_extremeness
469,-21.485182999669746,-13.610236451752218,mean_minus_line,distribution_geometry,-7.874946547917529,-0.669105203993148,2,receiving_yards,-0.716202015774561,probability_extremeness
469,13.420091324200913,-2.379908675799088,player_history_games,history_depth,15.8,-0.31671725223392405,3,receiving_yards,-0.4300847254641222,probability_extremeness
469,5.831883363530925,-2.983220432837718,simulated_stddev,distribution_geometry,8.815103796368643,-0.0697361477180537,4,receiving_yards,-0.3200765973230388,probability_extremeness
469,18.28878960306998,-9.312263849012488,simulated_mean,distribution_geometry,27.601053452082468,-0.07181008915098284,5,receiving_yards,-0.3183641025356389,probability_extremeness
469,17.598012046943122,-8.955663994065272,simulated_median,distribution_geometry,26.553676041008394,-0.07224178247025081,6,receiving_yards,-0.3180200901565249,probability_extremeness
